n=301  E0<=0.430 R0<=0.125  E+-<=0.438  rho(n)<=9.75  sigma(n)<=147  sum sigma<=147
n=500  E0<=2.88e-7 R0<=9.48e-8  E+-<=2.92e-7  rho(n)<=1.55e-6  sigma(n)<=2.32e-5  sum sigma<=1050
n=1000  E0<=2.89e-23 R0<=9.50e-24  E+-<=2.93e-23  rho(n)<=1.55e-22  sigma(n)<=2.33e-21  sum sigma<=1050
n=1500  E0<=1.42e-39 R0<=4.66e-40  E+-<=1.44e-39  rho(n)<=7.59e-39  sigma(n)<=1.14e-37  sum sigma<=1050
n=2000  E0<=5.16e-56 R0<=1.70e-56  E+-<=5.23e-56  rho(n)<=2.77e-55  sigma(n)<=4.16e-54  sum sigma<=1050
n=2500  E0<=1.61e-72 R0<=5.28e-73  E+-<=1.63e-72  rho(n)<=1.62e-59  sigma(n)<=2.43e-58  sum sigma<=1050
n=3000  E0<=4.50e-89 R0<=1.49e-89  E+-<=4.56e-89  rho(n)<=1.62e-59  sigma(n)<=2.43e-58  sum sigma<=1050
n=3500  E0<=1.18e-105 R0<=3.88e-106  E+-<=1.20e-105  rho(n)<=1.62e-59  sigma(n)<=2.43e-58  sum sigma<=1050
n=4000  E0<=2.93e-122 R0<=9.63e-123  E+-<=2.97e-122  rho(n)<=1.62e-59  sigma(n)<=2.43e-58  sum sigma<=1050
n=4500  E0<=6.99e-139 R0<=2.30e-139  E+-<=7.08e-139  rho(n)<=1.62e-59  sigma(n)<=2.43e-58  sum sigma<=1050
n=5000  E0<=1.62e-155 R0<=5.33e-156  E+-<=1.64e-155  rho(n)<=1.62e-59  sigma(n)<=2.43e-58  sum sigma<=1050
n=5500  E0<=3.66e-172 R0<=1.21e-172  E+-<=3.70e-172  rho(n)<=1.62e-59  sigma(n)<=2.43e-58  sum sigma<=1050
n=6000  E0<=8.09e-189 R0<=2.67e-189  E+-<=8.19e-189  rho(n)<=1.62e-59  sigma(n)<=2.43e-58  sum sigma<=1050
n=6500  E0<=1.76e-205 R0<=5.79e-206  E+-<=1.78e-205  rho(n)<=1.62e-59  sigma(n)<=2.43e-58  sum sigma<=1050
n=7000  E0<=3.77e-222 R0<=1.24e-222  E+-<=3.81e-222  rho(n)<=1.62e-59  sigma(n)<=2.43e-58  sum sigma<=1050
n=7500  E0<=7.97e-239 R0<=2.62e-239  E+-<=8.06e-239  rho(n)<=1.62e-59  sigma(n)<=2.43e-58  sum sigma<=1050
n=8000  E0<=1.67e-255 R0<=5.48e-256  E+-<=1.69e-255  rho(n)<=1.62e-59  sigma(n)<=2.43e-58  sum sigma<=1050
n=8500  E0<=3.45e-272 R0<=1.14e-272  E+-<=3.49e-272  rho(n)<=1.62e-59  sigma(n)<=2.43e-58  sum sigma<=1050
n=9000  E0<=7.08e-289 R0<=2.33e-289  E+-<=7.17e-289  rho(n)<=1.62e-59  sigma(n)<=2.43e-58  sum sigma<=1050
n=9500  E0<=1e-300 R0<=1e-300  E+-<=1e-300  rho(n)<=1.62e-59  sigma(n)<=2.43e-58  sum sigma<=1050
n=10000  E0<=1e-300 R0<=1e-300  E+-<=1e-300  rho(n)<=1.62e-59  sigma(n)<=2.43e-58  sum sigma<=1050
n=10500  E0<=1e-300 R0<=1e-300  E+-<=1e-300  rho(n)<=1.62e-59  sigma(n)<=2.43e-58  sum sigma<=1050
